"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
1,NA,NA,1,"7307","proband","Pulse60",98.8806,98.1018,98.9311,98.8806
2,NA,NA,1,"7307","proband","Pulse60",98.9996,98.5012,98.9698,98.9996
3,NA,NA,1,"7307","proband","Pulse60",99.2126,98.6738,99.1329,99.2126
4,NA,NA,1,"7307","proband","Pulse60",98.6237,97.5424,98.8821,98.6237
5,NA,NA,1,"7307","proband","Pulse60",99.3351,98.3511,99.4336,99.3351
6,NA,NA,1,"7307","proband","Pulse60",99.4887,99.0234,99.4508,99.4887
7,NA,NA,1,"7307","proband","Pulse60",99.6131,99.4321,99.3818,99.6131
8,NA,NA,1,"7307","proband","Pulse60",99.7765,99.4611,99.4197,99.7765
9,NA,NA,1,"7307","proband","Pulse60",99.6847,99.3918,99.2325,99.6847
10,NA,NA,1,"7307","proband","Pulse60",100.112,100.171,99.8975,100.112
11,NA,NA,1,"7307","proband","Pulse60",100.198,100.259,99.781,100.198
12,NA,NA,1,"7307","proband","Pulse60",99.8688,99.4819,99.6686,99.8688
13,NA,NA,1,"7307","proband","Pulse60",100.107,99.8739,99.932,100.107
14,NA,NA,1,"7307","proband","Pulse60",100.204,100.247,99.9705,100.204
15,NA,NA,1,"7307","proband","Pulse60",100.397,100.34,100.191,100.397
16,NA,NA,1,"7307","proband","Pulse60",100.537,100.146,100.262,100.537
17,NA,NA,1,"7307","proband","Pulse60",100.419,100.091,100.258,100.419
18,NA,NA,1,"7307","proband","Pulse60",100.552,100.38,100.247,100.552
19,NA,NA,1,"7307","proband","Pulse60",99.9999,99.9283,99.8365,99.9999
20,NA,NA,1,"7307","proband","Pulse60",99.7771,99.4708,99.9217,99.7771
21,NA,NA,1,"7307","proband","Pulse60",100.05,100.186,99.7125,100.05
22,NA,NA,1,"7307","proband","Pulse60",99.9758,99.7944,99.7755,99.9758
23,NA,NA,1,"7307","proband","Pulse60",99.6748,99.5118,99.745,99.6748
24,NA,NA,1,"7307","proband","Pulse60",99.4344,99.1275,99.4922,99.4344
25,NA,NA,1,"7307","proband","Pulse60",99.0574,98.9077,99.2305,99.0574
26,NA,NA,1,"7307","proband","Pulse60",99.1887,98.848,99.3432,99.1887
27,NA,NA,1,"7307","proband","Pulse60",99.2099,98.9758,99.5199,99.2099
28,NA,NA,1,"7307","proband","Pulse60",99.5203,99.239,99.5378,99.5203
29,NA,NA,1,"7307","proband","Pulse60",99.9122,100.318,100.063,99.9122
30,NA,NA,1,"7307","proband","Pulse60",101.004,101.172,100.633,101.004
